"2020-10-06 19:10:56  INFO [restartedMain] com.infosys.employeeCourse.EmployeeCourseApplication [logStarting] - Starting EmployeeCourseApplication on CHNMCT326746L with PID 5088 (C:\Users\vinupriyap.p\Downloads\employeeCourse\employeeCourse\target\classes started by vinupriyap.p in C:\Users\vinupriyap.p\Downloads\employeeCourse\employeeCourse)
""2020-10-06 19:10:56  INFO [restartedMain] com.infosys.employeeCourse.EmployeeCourseApplication [logStartupProfileInfo] - No active profile set, falling back to default profiles: default
""2020-10-06 19:10:56  INFO [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor [logTo] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2020-10-06 19:10:56  INFO [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor [logTo] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2020-10-06 19:11:00  INFO [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate [registerRepositoriesIn] - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
""2020-10-06 19:11:01  INFO [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate [registerRepositoriesIn] - Finished Spring Data repository scanning in 137ms. Found 1 JPA repository interfaces.
""2020-10-06 19:11:03  INFO [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [initialize] - Tomcat initialized with port(s): 8081 (http)
""2020-10-06 19:11:03  INFO [restartedMain] org.apache.catalina.core.StandardService [log] - Starting service [Tomcat]
""2020-10-06 19:11:03  INFO [restartedMain] org.apache.catalina.core.StandardEngine [log] - Starting Servlet engine: [Apache Tomcat/9.0.37]
""2020-10-06 19:11:03  INFO [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [log] - Initializing Spring embedded WebApplicationContext
""2020-10-06 19:11:03  INFO [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [prepareWebApplicationContext] - Root WebApplicationContext: initialization completed in 7358 ms
""2020-10-06 19:11:04  INFO [restartedMain] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor [initialize] - Initializing ExecutorService 'applicationTaskExecutor'
""2020-10-06 19:11:04  INFO [task-1] org.hibernate.jpa.internal.util.LogHelper [logPersistenceUnitInformation] - HHH000204: Processing PersistenceUnitInfo [name: default]
""2020-10-06 19:11:04  INFO [task-1] org.hibernate.Version [logVersion] - HHH000412: Hibernate ORM core version 5.4.20.Final
""2020-10-06 19:11:05  INFO [task-1] org.hibernate.annotations.common.Version [<clinit>] - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
